abstract,author,doi,url,publication month,publication year,title,publisher,crossref_field,semantic_field,label
,"['M. Madhupratap', 'S. Sardesai', 'S. N. de Souza', 'N. Ramaiah', 'M. Gauns', 'T. G. Prasad', 'P. M. Muraleedharan', 'S. Prasanna Kumar']",10.1029/2002GL016013,https://doi.org/10.1029/2002GL016013,,,Why is the Bay of Bengal less productive during summer monsoon compared to the Arabian Sea?: THE BAY OF BENGAL LESS PRODUCTIVE DURING SUMMER MONSOON,Geophysical Research Letters,,,Oceanography
,"['C.T. Achuthankutty', 'K.K.C. Nair', 'T.T.M. Ashraff', 'P.A. Maheswaran', 'J.G. Vijay', 'K.R. Muraleedharan', 'N.V. Madhu', 'R. Jyothibabu', 'C.M. Laluraj', 'K.K. Balachandran']",10.1016/j.jmarsys.2007.09.002,https://doi.org/10.1016/j.jmarsys.2007.09.002,,,Hydrography and biogeochemistry of the north western Bay of Bengal and the north eastern Arabian Sea during winter monsoon,Journal of Marine Systems,,,Oceanography
,"['K.K.C. Nair', 'T.C. Gopalakrishnan', 'Vijay John Gerson', 'P.A. Maheswaran', 'R. Jyothibabu', 'N.V. Madhu']",10.1016/j.csr.2006.06.004,https://doi.org/10.1016/j.csr.2006.06.004,,,Lack of seasonality in phytoplankton standing stock (chlorophyll a) and production in the western Bay of Bengal,Continental Shelf Research,,,Oceanography
,"[' T. C. Gopalakrishnan', ' K. K. C. Nair', ' C. Revichandran', ' P. Venugopal', ' P. C. Haridas', ' Vijay John Gerson', ' T. T. Mohammed Ashraf', ' N. V. Madhu', ' P. A. Maheswaran', 'R. Jyothibabu']",,https://www.jstor.org/stable/24109357,9,2004,Differential response of winter cooling on biological production in the northeastern Arabian Sea and northwestern Bay of Bengal,,,,Oceanography
,"['Jane T. Paul', 'Veronica Fernandes', 'Jayu Narvekar', 'S. Sardesai', 'N. Ramaiah', 'M. Nuncio', 'S. Prasanna Kumar']",10.1016/j.dsr.2007.06.002,https://doi.org/10.1016/j.dsr.2007.06.002,,,Eddy-mediated biological productivity in the Bay of Bengal during fall and spring intermonsoons,Deep Sea Research Part I: Oceanographic Research Papers,,,Oceanography
,"['M. S. SHESHSHAYEE', 'R. RAMESH', 'ARVIND SINGH', 'NAVEEN GANDHI']",10.1142/9789814355353_0004,,,,NITROGEN SOURCES FOR NEW PRODUCTION IN THE NE INDIAN OCEAN,Volume 24: Ocean Science (OS),,,Oceanography
,"[' P.Vennugopal', ' K.K.C. Nair', ' P.C. Haridas', ' Nuncio Murukesh', ' N.V. Madhu', 'R. Jyothibabu']",,http://nopr.niscair.res.in/handle/123456789/4262,6,2003,Intense blooms of Trichodesmium erythraeum (Cyanophyta) in the open waters along east coast of India,,,,Oceanography
,"['V.V.S.S. Sarma', 'H.B. Dalabehara']",10.1016/j.dsr2.2020.104906,https://doi.org/10.1016/j.dsr2.2020.104906,,,Physical forcing controls spatial variability in primary production in the Indian Ocean,Deep Sea Research Part II: Topical Studies in Oceanography,,,Oceanography
,"['Michael W. Lomas', 'Benjamin S. Twining', 'Adam C. Martiny', 'Nathan S. Garcia', 'Catherine A. Garcia', 'Sara Rauschenberg', 'Steven E. Baer']",10.1016/j.dsr2.2018.11.008,https://doi.org/10.1016/j.dsr2.2018.11.008,,,Carbon and nitrogen productivity during spring in the oligotrophic Indian Ocean along the GO-SHIP IO9N transect,Deep Sea Research Part II: Topical Studies in Oceanography,,,Oceanography
,"['K. Yadav', 'H. B. Dalabehera', 'G. R. Rajula', 'D. N. Rao', 'V. V. S. S. Sarma']",10.1029/2019GL082262,https://doi.org/10.1029/2019GL082262,,,Organic Nutrients Support High Primary Production in the Bay of Bengal,Geophysical Research Letters,,,Oceanography
,"['V.D. Rao', 'D.S.R. Lakshmi', 'G.R. Rajula', 'M.M.R. Priya', 'D.N. Rao', 'M. Chopra', 'V.V.S.S. Sarma']",10.1016/j.csr.2020.104186,https://doi.org/10.1016/j.csr.2020.104186,,,Role of eddies on controlling total and size-fractionated primary production in the Bay of Bengal,Continental Shelf Research,,,Oceanography
,"['Linda Gilpin', 'Graham Savidge']",10.1016/S0967-0645(98)00124-6,https://doi.org/10.1016/S0967-0645(98)00124-6,,,Seasonal influences on size-fractionated chlorophyll a concentrations and primary production in the north-west Indian Ocean,Deep Sea Research Part II: Topical Studies in Oceanography,,,Oceanography
,"['N. Ramaiah', 'K. K. C. Nair', 'S. Raghukumar', 'M. Dileep Kumar', 'P. M. A. Bhattathiri', 'S. Prasanna Kumar', 'M. Madhupratap']",10.1038/384549a0,https://doi.org/10.1038/384549a0,,,Mechanism of the biological response to winter cooling in the northeastern Arabian Sea,Nature,,,Oceanography
,"['Edward J. Carpenter', 'Ronald L. Siefert', 'Anne M. Johansen', 'Christoph Humborg', 'Maren Voss', 'Joseph P. Montoya', 'Ajit Subramaniam', 'Douglas G. Capone']",10.7916/D8416X1H,https://doi.org/10.7916/D8416X1H,,,An extensive bloom of the N₂-fixing cyanobacterium Trichodesmium erythraeum in the central Arabian Sea,,,,Oceanography
,"['Sharon L Smith', 'Ralf Goericke', 'Mikel Latasa', 'Zackary Johnson', 'David Halpern', 'Louis A Codispoti', 'Robert C Bidigare', 'John Marra', 'Richard T Barber']",10.1016/S0967-0645(00)00134-X,https://doi.org/10.1016/S0967-0645(00)00134-X,,,Primary productivity and its regulation in the Arabian Sea during 1995,Deep Sea Research Part II: Topical Studies in Oceanography,,,Oceanography
,"['Chittur T. Achuthankutty', 'Kadeparambil A. Jayaraj', 'Padinjaratte A. Maheswaran', 'Retnamma Jyothibabu', 'Nikathithara V. Madhu']",10.1080/17451000.2011.605143,https://doi.org/10.1080/17451000.2011.605143,,,Enhanced chlorophyllaand primary production in the northern Arabian Sea during the spring intermonsoon due to greenNoctilucascintillansbloom,Marine Biology Research,,,Oceanography
,"['Suhas Shetye', 'M. S. Sheshshayee', 'Mini Raman', 'R. Ramesh', 'S. Prakash', 'Arvind Singh', 'Naveen Gandhi']",10.1029/2010GB003970,https://doi.org/10.1029/2010GB003970,,,First direct measurements of N2fixation during aTrichodesmiumbloom in the eastern Arabian Sea: N2FIXATION IN THE ARABIAN SEA,Global Biogeochemical Cycles,,,Oceanography
,"['Ken Furuya', 'Shigenobu Takeda', 'Taketoshi Kodama', 'Minoru Ijichi', 'Takuhei Shiozaki']",10.1002/2014GB004886,https://doi.org/10.1002/2014GB004886,,,Heterotrophic bacteria as major nitrogen fixers in the euphotic zone of the Indian Ocean: NITROGEN FIXATION IN THE INDIAN OCEAN,Global Biogeochemical Cycles,,,Oceanography
,"['H.B. Dalabehera', 'V.V.S.S. Sarma']",10.1016/j.marchem.2019.103687,https://doi.org/10.1016/j.marchem.2019.103687,,,New and primary production in the western Indian Ocean during fall monsoon,Marine Chemistry,,,Oceanography
,"['C.A. Llewellyn', 'R.J.M. Howland', 'J. Aiken', 'I.E. Bellan', 'E.M.S. Woodward', 'R.F.C. Mantoura', 'P.H. Burkill', 'N.J.P. Owens']",10.1016/0967-0645(93)90053-P,https://doi.org/10.1016/0967-0645(93)90053-P,,,Size-fractionated primary production and nitrogen assimilation in the northwestern Indian Ocean,Deep Sea Research Part II: Topical Studies in Oceanography,,,Oceanography
,"['N.J.P. Owens', 'L.J. Watts']",10.1016/S0967-0645(98)00125-8,https://doi.org/10.1016/S0967-0645(98)00125-8,,,Nitrogen assimilation and the f-ratio in the northwestern Indian Ocean during an intermonsoon period,Deep Sea Research Part II: Topical Studies in Oceanography,,,Oceanography
,"['John L. Nevins', 'Chris Garside', 'James J. McCarthy']",10.1016/S0967-0645(99)00038-7,https://doi.org/10.1016/S0967-0645(99)00038-7,,,Nitrogen dynamics during the Arabian Sea Northeast Monsoon,Deep Sea Research Part II: Topical Studies in Oceanography,,,Oceanography
,Raymond N Sambrotto,10.1016/S0967-0645(00)00135-1,https://doi.org/10.1016/S0967-0645(00)00135-1,,,Nitrogen production in the northern Arabian Sea during the Spring Intermonsoon and Southwest Monsoon seasons,Deep Sea Research Part II: Topical Studies in Oceanography,,,Oceanography
,Sanjeev Kumar,10.1029/2004GL021005,https://doi.org/10.1029/2004GL021005,,,High new production in the Bay of Bengal: Possible causes and implications,Geophysical Research Letters,,,Oceanography
,"[""W. D'Souza"", 'M. S. Sheshshayee', 'M. Raman', 'R. M. Dwivedi', 'R. Ramesh', 'S. Kumar']",10.1155/2010/819029,https://doi.org/10.1155/2010/819029,,,Nitrogen Uptake in the Northeastern Arabian Sea during Winter Cooling,International Journal of Oceanography,,,Oceanography
,"['Mini Raman', 'R. M. Dwivedi', 'M. S. Sheshshayee', 'R. Ramesh', 'Satya Prakash']",10.1029/2008GL033819,https://doi.org/10.1029/2008GL033819,,,Quantification of new production during a winterNoctiluca scintillansbloom in the Arabian Sea,Geophysical Research Letters,,,Oceanography
,"['N. Anilkumar', 'R. K. Mishra', 'A. Sarkar', 'K. Vishnu Vardhan', 'Sivaji Patra', 'S. C. Tripathy']",10.1007/s11707-017-0649-9,https://doi.org/10.1007/s11707-017-0649-9,,,Nitrogen uptake by phytoplankton in surface waters of the Indian sector of Southern Ocean during austral summer,Frontiers of Earth Science,,,Oceanography
,"['Edward J. Carpenter', 'Anthony F. Michaels', 'Troy Gunderson', 'Claire Mahaffey', 'Ajit Subramaniam', 'Joseph P. Montoya', 'James A. Burns', 'Douglas G. Capone']",10.1029/2004GB002331,https://doi.org/10.1029/2004GB002331,,,Nitrogen fixation byTrichodesmiumspp.: An important source of new nitrogen to the tropical and subtropical North Atlantic Ocean: NITROGEN FIXATION IN THE NORTH ATLANTIC,Global Biogeochemical Cycles,,,Oceanography
,"['J. P. Zehr', 'P. H. Moisander', 'K. Turk', 'E. Mondragon', 'K. Hyde', 'A. Mannino', 'J. L. Blanco-Garcia', 'P. W. Bernhardt', 'M. R. Mulholland']",10.4319/lo.2012.57.4.1067,https://doi.org/10.4319/lo.2012.57.4.1067,,,Rates of dinitrogen fixation and the abundance of diazotrophs in North American coastal waters between Cape Hatteras and Georges Bank,Limnology and Oceanography,,,Oceanography
,"['D B Graves', 'J Lee']",10.1088/0022-3727/44/32/325203,,,,The effect of VUV radiation from Ar/O2plasmas on low-kSiOCH films,Journal of Physics D: Applied Physics,,,"Atomic, Molecular and Optical Physics"
,"['Marie-Claire Gazeau', 'Antoine Jolly', 'Hervé Cottin', 'Nicolas Fray', 'Yves Bénilan', 'Et-touhami Es-sebbar']",10.1088/0067-0049/218/2/19,,,,OPTIMIZATION OF A SOLAR SIMULATOR FOR PLANETARY-PHOTOCHEMICAL STUDIES,The Astrophysical Journal Supplement Series,,,"Atomic, Molecular and Optical Physics"
,"['M R Baklanov', 'J-F de Marneffe', 'A Rakhimov', 'T Rakhimova', 'D Lopaev', 'Z el Otell', 'O Proshina', 'A Zotovich']",10.1088/0963-0252/25/5/055001,,,,Comparison of vacuum ultra-violet emission of Ar/CF4and Ar/CF3I capacitively coupled plasmas,Plasma Sources Science and Technology,,,"Atomic, Molecular and Optical Physics"
,"['A T Rakhimov', 'S M Zyryanov', 'D V Lopaev', 'A I Zotovich', 'T V Rakhimova', 'O V Proshina']",10.1088/1361-6595/aa72c9,,,,Multifold study of volume plasma chemistry in Ar/CF4and Ar/CHF3CCP discharges,Plasma Sources Science and Technology,,,"Atomic, Molecular and Optical Physics"
,"['P Awakowicz', 'N Bibinov', 'M Fiebrandt', 'F Mitschker', 'E J Iglesias']",10.1088/1361-6501/aa7816,,,,In situmeasurement of VUV/UV radiation from low-pressure microwave-produced plasma in Ar/O2gas mixtures,Measurement Science and Technology,,,"Atomic, Molecular and Optical Physics"
,"['Marie-Claire Gazeau', 'Antoine Jolly', 'Hervé Cottin', 'Nicolas Fray', 'Yves Bénilan', 'Et-touhami Es-sebbar']",10.3847/1538-4365/aaf0a1,,,,"VUV Spectral Irradiance Measurements in H
                    2
                    /He/Ar Microwave Plasmas and Comparison with Solar Data",The Astrophysical Journal Supplement Series,,,"Atomic, Molecular and Optical Physics"
,"['D B Graves', 'J Lee']",10.1088/0022-3727/44/32/325203,,,,The effect of VUV radiation from Ar/O_2 plasmas on low-kSiOCH films,"['Journal of Physics D: Applied Physics', 'Journal of Physics D: Applied Physics']",,,"Atomic, Molecular and Optical Physics"
,"['Marie-Claire Gazeau', 'Antoine Jolly', 'Hervé Cottin', 'Nicolas Fray', 'Yves Bénilan', 'Et-touhami Es-sebbar']",10.1088/0067-0049/218/2/19,,,,Optimization of a Solar Simulator for Planetary-Photochemical Studies,"['The Astrophysical Journal Supplement Series', 'The Astrophysical Journal Supplement Series']",,,"Atomic, Molecular and Optical Physics"
,"['M R Baklanov', 'J-F de Marneffe', 'A Rakhimov', 'T Rakhimova', 'D Lopaev', 'Z el Otell', 'O Proshina', 'A Zotovich']",10.1088/0963-0252/25/5/055001,,,,Comparison of vacuum ultra-violet emission of Ar/CF_4 and Ar/CF_3I capacitively coupled plasmas,"['Plasma Sources Science and Technology', 'Plasma Sources Science and Technology']",,,"Atomic, Molecular and Optical Physics"
,"['A T Rakhimov', 'S M Zyryanov', 'D V Lopaev', 'A I Zotovich', 'T V Rakhimova', 'O V Proshina']",10.1088/1361-6595/aa72c9,,,,Multifold study of volume plasma chemistry in Ar/CF_4and Ar/CHF_3  CCP discharges,"['Plasma Sources Science and Technology', 'Plasma Sources Science and Technology']",,,"Atomic, Molecular and Optical Physics"
,"['P Awakowicz', 'N Bibinov', 'M Fiebrandt', 'F Mitschker', 'E J Iglesias']",10.1088/1361-6501/aa7816,,,,In situmeasurement of VUV/UV radiation from low-pressure microwave-produced plasma in Ar/O_2 gas mixtures,"['Measurement Science and Technology', 'Measurement Science and Technology', 'Measurement Science and Technology', 'Measurement Science and Technology']",,,"Atomic, Molecular and Optical Physics"
,"['P Awakowicz', 'N Bibinov', 'M Fiebrandt', 'F Mitschker', 'E J Iglesias']",10.1088/1361-6501/aa7816,,,,In situmeasurement of VUV/UV radiation from low-pressure microwave-produced plasma in Ar/O_2 gas mixtures,"['Measurement Science and Technology', 'Measurement Science and Technology', 'Measurement Science and Technology', 'Measurement Science and Technology']",,,"Atomic, Molecular and Optical Physics"
,"['P Awakowicz', 'N Bibinov', 'M Fiebrandt', 'F Mitschker', 'E J Iglesias']",10.1088/1361-6501/aa7816,,,,In situmeasurement of VUV/UV radiation from low-pressure microwave-produced plasma in Ar/O_2 gas mixtures,"['Measurement Science and Technology', 'Measurement Science and Technology', 'Measurement Science and Technology', 'Measurement Science and Technology']",,,"Atomic, Molecular and Optical Physics"
,"['Marie-Claire Gazeau', 'Antoine Jolly', 'Hervé Cottin', 'Nicolas Fray', 'Yves Bénilan', 'Et-touhami Es-sebbar']",10.3847/1538-4365/aaf0a1,,,,VUV Spectral Irradiance Measurements in H_2/He/Ar Microwave Plasmas and Comparison with Solar Data,"['The Astrophysical Journal Supplement Series', 'The Astrophysical Journal Supplement Series', 'The Astrophysical Journal Supplement Series']",,,"Atomic, Molecular and Optical Physics"
,"['Marie-Claire Gazeau', 'Antoine Jolly', 'Hervé Cottin', 'Nicolas Fray', 'Yves Bénilan', 'Et-touhami Es-sebbar']",10.3847/1538-4365/aaf0a1,,,,VUV Spectral Irradiance Measurements in H_2/He/Ar Microwave Plasmas and Comparison with Solar Data,"['The Astrophysical Journal Supplement Series', 'The Astrophysical Journal Supplement Series', 'The Astrophysical Journal Supplement Series']",,,"Atomic, Molecular and Optical Physics"
,"['R. D. Short', 'D. A. Steele', 'K. J. Gibson', 'J. W. Bradley', 'D. Barton']",10.1021/jp000618v,,,,An In Situ Comparison between VUV Photon and Ion Energy Fluxes to Polymer Surfaces Immersed in an RF Plasma,The Journal of Physical Chemistry B,,,"Atomic, Molecular and Optical Physics"
,"['B. P. Aragon', 'T. W. Hamilton', 'V. A. Amatucci', 'M. E. Riley', 'J. R. Woodworth']",10.1116/1.1335685,,,,Absolute intensities of the vacuum ultraviolet spectra in oxide etch  plasma processing discharges,"Journal of Vacuum Science & Technology A: Vacuum, Surfaces, and Films",,,"Atomic, Molecular and Optical Physics"
,"['Olivier Joubert', 'Claire Sourd', 'Raluca Tiron', 'Kevin Menguelti', 'Marc Fouchier', 'Laurent Azarnouche', 'Erwine Pargon']",10.1002/ppap.201100107,,,,HBr Plasma Treatment Versus VUV Light Treatment to Improve 193 nm Photoresist Pattern Linewidth Roughness,Plasma Processes and Polymers,,,"Atomic, Molecular and Optical Physics"
,"['D B Graves', 'J Lee']",10.1088/0022-3727/44/32/325203,,,,The effect of VUV radiation from Ar/O_2 plasmas on low-kSiOCH films,"['Journal of Physics D: Applied Physics', 'Journal of Physics D: Applied Physics']",,,"Atomic, Molecular and Optical Physics"
,"['Koichi Sasaki', 'Kazuaki Kurihara', 'Kazunori Zaima']",10.1143/JJAP.51.08HC02,,,,Evaluation of Absolute Flux of Vacuum Ultraviolet Photons in an Electron Cyclotron Resonance Hydrogen Plasma: Comparison with Ion Flux,Japanese Journal of Applied Physics,,,"Atomic, Molecular and Optical Physics"
,"['M R Baklanov', 'M B Krishtab', 'N N Novikova', 'D G Voloshin', 'O V Proshina', 'K Kurchikov', 'S M Zyryanov', ""A N Vasil'eva"", 'A S Kovalev', 'D V Lopaev', 'Yu A Mankelevich', 'A T Rakhimov', 'T V Rakhimova']",10.1088/0022-3727/47/2/025102,,,,Low-kfilms modification under EUV and VUV radiation,Journal of Physics D: Applied Physics,,,"Atomic, Molecular and Optical Physics"
,"['Marie-Claire Gazeau', 'Antoine Jolly', 'Hervé Cottin', 'Nicolas Fray', 'Yves Bénilan', 'Et-touhami Es-sebbar']",10.1088/0067-0049/218/2/19,,,,Optimization of a Solar Simulator for Planetary-Photochemical Studies,"['The Astrophysical Journal Supplement Series', 'The Astrophysical Journal Supplement Series']",,,"Atomic, Molecular and Optical Physics"
,"['M R Baklanov', 'J-F de Marneffe', 'A Rakhimov', 'T Rakhimova', 'D Lopaev', 'Z el Otell', 'O Proshina', 'A Zotovich']",10.1088/0963-0252/25/5/055001,,,,Comparison of vacuum ultra-violet emission of Ar/CF_4 and Ar/CF_3I capacitively coupled plasmas,"['Plasma Sources Science and Technology', 'Plasma Sources Science and Technology']",,,"Atomic, Molecular and Optical Physics"
,"['A T Rakhimov', 'S M Zyryanov', 'D V Lopaev', 'A I Zotovich', 'T V Rakhimova', 'O V Proshina']",10.1088/1361-6595/aa72c9,,,,Multifold study of volume plasma chemistry in Ar/CF_4and Ar/CHF_3  CCP discharges,"['Plasma Sources Science and Technology', 'Plasma Sources Science and Technology']",,,"Atomic, Molecular and Optical Physics"
,"['P Awakowicz', 'N Bibinov', 'M Fiebrandt', 'F Mitschker', 'E J Iglesias']",10.1088/1361-6501/aa7816,,,,In situmeasurement of VUV/UV radiation from low-pressure microwave-produced plasma in Ar/O_2 gas mixtures,"['Measurement Science and Technology', 'Measurement Science and Technology', 'Measurement Science and Technology', 'Measurement Science and Technology']",,,"Atomic, Molecular and Optical Physics"
,"['Marie-Claire Gazeau', 'Antoine Jolly', 'Hervé Cottin', 'Nicolas Fray', 'Yves Bénilan', 'Et-touhami Es-sebbar']",10.3847/1538-4365/aaf0a1,,,,VUV Spectral Irradiance Measurements in H_2/He/Ar Microwave Plasmas and Comparison with Solar Data,"['The Astrophysical Journal Supplement Series', 'The Astrophysical Journal Supplement Series', 'The Astrophysical Journal Supplement Series']",,,"Atomic, Molecular and Optical Physics"
,"['Ursel Fantz', ' S. Briefi', 'Roland Friedl', 'C. Fröhler-Bachus']",10.1016/j.jqsrt.2020.107427,,1,2021,Absolute radiometric calibration of a VUV spectrometer in the wavelength range 46–300 nm,"['Journal of Quantitative Spectroscopy and Radiative Transfer', 'Journal of Quantitative Spectroscopy and Radiative Transfer', 'Journal of Quantitative Spectroscopy and Radiative Transfer', 'Journal of Quantitative Spectroscopy and Radiative Transfer', 'Journal of Quantitative Spectroscopy and Radiative Transfer', 'Journal of Quantitative Spectroscopy and Radiative Transfer']",,,"Atomic, Molecular and Optical Physics"
,"[' M R Baklanov', ' T V Rakhimova ', ' A T Rakhimov', ' Yu A Mankelevich', ' D V Lopaev', ' A O Serov', ' A N Ryabinkin', 'A F Pal']",10.1088/1361-6463/ab813f,,,2020,VUV radiation flux from argon DC magnetron plasma,,,,"Atomic, Molecular and Optical Physics"
,"[' P Awakowicz', ' N Bibinov ', 't', ' M Fiebr', ' F Mitschker', ' A Hecimovic', 'E J Iglesias']",10.1088/1361-6463/ab52f8,,,2020,Ultraviolet/vacuum-ultraviolet emission from a high power magnetron sputtering plasma with an aluminum target,,,,"Atomic, Molecular and Optical Physics"
,"['Elena Tatarova', 'Julio Henriques', ' E. Felizardo', 'Susana Espinho']",10.1063/1.4981535,,4,2017,Vacuum ultraviolet radiation emitted by microwave driven argon plasmas,"['Journal of Applied Physics', 'Journal of Applied Physics', 'Journal of Applied Physics', 'Journal of Applied Physics']",,,"Atomic, Molecular and Optical Physics"
