abstract,author,doi,url,publication month,publication year,title,publisher,crossref_field,semantic_field,label
,"[' Suhas Shetye', ' M. S. Sheshshayee', ' Mini Raman', ' R. Ramesh', ' S. Prakash', ' Arvind Singh', 'Naveen Gandhi']",10.1029/2010GB003970,https://doi.org/10.1029/2010GB003970,12,2011,First direct measurements of N2 fixation during a Trichodesmium bloom in the eastern Arabian Sea,['Global Biogeochemical Cycles'],"(['Atmospheric Science', 'General Environmental Science', 'Environmental Chemistry', 'Global and Planetary Change'],)",,Oceanography
,"['ken furuya', 'Shigenobu Takeda', 'Taketoshi Kodama', 'Minoru Ijichi', 'Takuhei Shiozaki']",10.1002/2014GB004886,https://doi.org/10.1002/2014GB004886,10,2014,Heterotrophic bacteria as major nitrogen fixers in the euphotic zone of the Indian Ocean,"['Global Biogeochemical Cycles', 'Global Biogeochemical Cycles', 'Global Biogeochemical Cycles', 'Global Biogeochemical Cycles', 'Global Biogeochemical Cycles']","(['Atmospheric Science', 'General Environmental Science', 'Environmental Chemistry', 'Global and Planetary Change'],)",,Oceanography
". The Bay of Bengal (BoB) has long stood as a biogeochemical enigma, withsubsurface waters containing extremely low, but persistent, concentrationsof oxygen in the nanomolar range which – for some, yet unconstrained, reason –are prevented from becoming anoxic. One reason for this may be the lowproductivity of the BoB waters due to nutrient limitation and the resultinglack of respiration of organic material at intermediate waters. Thus, theparameters determining primary production are key in understanding whatprevents the BoB from developing anoxia. Primary productivity in the sunlitsurface layers of tropical oceans is mostly limited by the supply ofreactive nitrogen through upwelling, riverine flux, atmospheric deposition,and biological dinitrogen (N2) fixation. In the BoB, a stablestratification limits nutrient supply via upwelling in the open waters, andriverine or atmospheric fluxes have been shown to support only less than one-quarter of the nitrogen for primary production. This leaves a largeuncertainty for most of the BoB's nitrogen input, suggesting a potentialrole of N2 fixation in those waters. Here, we present a survey of N2 fixation and carbon fixation in the BoBduring the winter monsoon season. We detected a community of N2 fixerscomparable to other oxygen minimum zone (OMZ) regions, with only a fewcyanobacterial clades and a broad diversity of non-phototrophic N2fixers present throughout the water column (samples collected between 10and 560 m water depth). While similar communities of N2 fixers wereshown to actively fix N2 in other OMZs, N2 fixation rates werebelow the detection limit in our samples covering the water column betweenthe deep chlorophyll maximum and the OMZ. Consistent with this, no N2fixation signal was visible in δ15N signatures. We suggest thatthe absence of N2 fixation may be a consequence of a micronutrientlimitation or of an O2 sensitivity of the OMZ diazotrophs in the BoB.Exploring how the onset of N2 fixation by cyanobacteria compared tonon-phototrophic N2 fixers would impact on OMZ O2 concentrations,a simple model exercise was carried out. We observed that both photic-zone-based and OMZ-based N2 fixation are very sensitive to evenminimal changes in water column stratification, with stronger mixingincreasing organic matter production and export, which can exhaustremaining O2 traces in the BoB.","['Don Canfield', 'Hermann W. Bange', 'Wiebke Mohr', 'Carolin Löscher']",10.5194/bg-17-851-2020,https://doi.org/10.5194/bg-17-851-2020,2,2020,No nitrogen fixation in the Bay of Bengal?,"['Biogeosciences', 'Biogeosciences', 'Biogeosciences']","(['Earth-Surface Processes', 'Ecology, Evolution, Behavior and Systematics'],)",,Oceanography
,"[' Edward J. Carpenter', ' Ronald L. Siefert', ' Anne M. Johansen', ' Christoph Humborg', ' Maren Voss', ' Joseph P. Montoya', ' Ajit Subramaniam', 'Douglas G. Capone']",10.7916/D8416X1H,https://doi.org/10.7916/D8416X1H,10,1998,An extensive bloom of the N2-fixing cyanobacterium Trichodesmium erythraeum in the central Arabian Sea,,,,Oceanography
,"[' T. Nallathambi', ' R. Ramesh', ' Arvind Singh', 'P. Kiran Kuma']",10.3389/fmars.2017.00080,https://doi.org/10.3389/fmars.2017.00080,3,2017,N2 Fixation in the Eastern Arabian Sea: Probable Role of Heterotrophic Diazotrophs,['Frontiers in Marine Science'],"(['Ocean Engineering', 'Water Science and Technology', 'Aquatic Science', 'Global and Planetary Change', 'Oceanography'],)",,Oceanography
,"[' R. Ramesh', ' Naveen Gandhi', 'Arvind Singh']",10.1016/j.csr.2019.05.012,https://doi.org/10.1016/j.csr.2019.05.012,5,2019,Surplus supply of bioavailable nitrogen through N2 fixation to primary producers in the eastern Arabian Sea during autumn,['Continental Shelf Research'],"(['Geology', 'Aquatic Science', 'Oceanography'],)",,Oceanography
,"[' N. Saravanane', ' K. R. Dhanya', ' D. S. Varrier', ' K. V. Sudharma', ' V. Sudheesh', ' G. V. M. Gupta', ' S. Kumar', 'P. S. Bhavya']",10.1007/s12237-015-9982-y,https://doi.org/10.1007/s12237-015-9982-y,5,2016,"Nitrogen Uptake Dynamics in a Tropical Eutrophic Estuary (Cochin, India) and Adjacent Coastal Waters",['Estuaries and Coasts'],"(['Ecology', 'Aquatic Science', 'Ecology, Evolution, Behavior and Systematics'],)",,Oceanography
,"[' S.W.A. Naqvi', ' Damodar M. Shenoy', ' Hema Naik', ' Anil Pratihary', ' Pratirupa Bardhan', ' Siby Kurian', ' Mangesh Gauns', 'Ayaz Ahmed']",10.1016/j.ecss.2017.04.005,http://dx.doi.org/10.1016/j.ecss.2017.04.005,4,2017,Nitrogen fixation rates in the eastern Arabian Sea,"['Estuarine, Coastal and Shelf Science']","(['Aquatic Science', 'Oceanography'],)",,Oceanography
,"[' V.R.D. Ghosh', ' D.N. Rao', ' R. Vivek', 'V.V.S.S. Sarma']",10.1016/j.csr.2020.104199,https://doi.org/10.1016/j.csr.2020.104199,7,2020,Severe phosphate limitation on nitrogen fixation in the Bay of Bengal,['Continental Shelf Research'],"(['Geology', 'Aquatic Science', 'Oceanography'],)",,Oceanography
"Two blooms of Trichodesmium erythraeum were observed during April 2001, in the open waters of Bay of Bengal and this is the first report from this region. The locations of the bloom were off Karaikkal (10°58'N, 81°50'E) and off south of Calcutta (19° 44'N, 89° 04'), both along east coast of India. Nutrients (nitrate, phosphate, silicate) concentration in the upper 30 m of the water column showed very low values. High-integrated primary production (Bloom 1- 2160 mgC m -2 d -1 , Bloom 2-1740 mgC m -2 d -1 ) was obtained in these regions, which indicated the enhancement of primary production in the earlier stages of the bloom. Very low NO3-N concentrations, brownish yellow bloom colour, undisturbed patches and high primary production strongly suggested that the blooms were in the growth phase. Low mesozooplankton biomass was found in both locations and was dominated by copepods followed by chaetognaths. Collapse","[' P.Vennugopal', ' K.K.C. Nair', ' P.C. Haridas', ' Nuncio Murukesh', ' N.V. Madhu', 'R. Jyothibabu']",,http://nopr.niscair.res.in/handle/123456789/4262,6,2003,Intense blooms of Trichodesmium erythraeum (Cyanophyta) in the open waters along east coast of India,Indian Journal of Marine Sciences,,Biology,Oceanography
"[1] The Bay of Bengal is traditionally considered to be a less productive basin compared to the Arabian Sea. We explore the reasons for this in the central Bay during summer. Copious rainfall and river water freshen the upper layers of the Bay by 3–7 psu during summer, and SST was warmer by 1.5–2°C than in the central Arabian Sea. This leads to a strongly stratified surface layer. The weaker winds over the Bay are unable to erode the strongly stratified surface layer, thereby restricting the turbulent wind-driven vertical mixing to a shallow depth of <20 m. This inhibits introduction of nutrients from below, situated close to the mixed layer bottom, into the upper layers. While advection of nutrients rich water into the euphotic zone makes the Arabian Sea highly productive, this process is unlikely in the Bay of Bengal.","['M. Madhupratap', 'S. Sardesai', 'S. N. de Souza', 'N. Ramaiah', 'M. Gauns', 'T. G. Prasad', 'P. M. Muraleedharan', 'S. Prasanna Kumar']",10.1029/2002GL016013,https://doi.org/10.1029/2002GL016013,0,0,Why is the Bay of Bengal less productive during summer monsoon compared to the Arabian Sea?: THE BAY OF BENGAL LESS PRODUCTIVE DURING SUMMER MONSOON,Geophysical Research Letters,,['Geology'],Oceanography
,"['C.T. Achuthankutty', 'K.K.C. Nair', 'T.T.M. Ashraff', 'P.A. Maheswaran', 'J.G. Vijay', 'K.R. Muraleedharan', 'N.V. Madhu', 'R. Jyothibabu', 'C.M. Laluraj', 'K.K. Balachandran']",10.1016/j.jmarsys.2007.09.002,https://doi.org/10.1016/j.jmarsys.2007.09.002,0,0,Hydrography and biogeochemistry of the north western Bay of Bengal and the north eastern Arabian Sea during winter monsoon,Journal of Marine Systems,"(['Aquatic Science', 'Ecology, Evolution, Behavior and Systematics', 'Oceanography'],)",,Oceanography
,"['K.K.C. Nair', 'T.C. Gopalakrishnan', 'Vijay John Gerson', 'P.A. Maheswaran', 'R. Jyothibabu', 'N.V. Madhu']",10.1016/j.csr.2006.06.004,https://doi.org/10.1016/j.csr.2006.06.004,0,0,Lack of seasonality in phytoplankton standing stock (chlorophyll a) and production in the western Bay of Bengal,Continental Shelf Research,"(['Geology', 'Aquatic Science', 'Oceanography'],)",,Oceanography
"The northern parts of the twin seas bordering the Indian subcontinent, the Arabian Sea (AS) and Bay of Bengal (BOB), were studied during the winter monsoon. Higher biological production was observed in the AS (chlorophylla 47.5 mg m - 2 , primary production 1114 mgC m - 2 d - 1 , mesozooplankton biomass 175 mmolC m - 2 , microzooplankton biomass 26 mmolC m - 2 ) compared to the BOB (chlorophyll a 10.3 mg m - 2 , primary production 117 mgC m - 2 d - 1 , mesozooplankton biomass 71 mmolC m - 2 , microzooplankton biomass 10.6 mmolC m - 2 ). In the AS, winter cooling assisted by the high surface salinity (>36) resulted in densification of surface layers, convective mixing and deepening of the mixed layer (average 60 m). Convective mixing brought nutrients to the upper euphotic column (∼ 2 μM nitrate in the top 50 m) and stimulated biological production. The northern part of the BOB, however, responded differently to atmospheric cooling. The prevailing low salinity (27) resulted in thermal inversion and stratification of the water column. Shallow mixed layer (average 2.5°C) in the BOB and (d) in the northernmost part of the BOB, upper low-saline water restricts atmospheric cooling to the surface layer and inhibits convection. Collapse","[' T. C. Gopalakrishnan', ' K. K. C. Nair', ' C. Revichandran', ' P. Venugopal', ' P. C. Haridas', ' Vijay John Gerson', ' T. T. Mohammed Ashraf', ' N. V. Madhu', ' P. A. Maheswaran', 'R. Jyothibabu']",,https://www.jstor.org/stable/24109357,9,2004,Differential response of winter cooling on biological production in the northeastern Arabian Sea and northwestern Bay of Bengal,Current Science,,Biology,Oceanography
,"['Jane T. Paul', 'Veronica Fernandes', 'Jayu Narvekar', 'S. Sardesai', 'N. Ramaiah', 'M. Nuncio', 'S. Prasanna Kumar']",10.1016/j.dsr.2007.06.002,https://doi.org/10.1016/j.dsr.2007.06.002,0,0,Eddy-mediated biological productivity in the Bay of Bengal during fall and spring intermonsoons,Deep Sea Research Part I: Oceanographic Research Papers,"(['Aquatic Science', 'Oceanography'],)",,Oceanography
,"['M. S. SHESHSHAYEE', 'R. RAMESH', 'ARVIND SINGH', 'NAVEEN GANDHI']",10.1142/9789814355353_0004,http://dx.doi.org/10.1142/9789814355353_0004,0,0,NITROGEN SOURCES FOR NEW PRODUCTION IN THE NE INDIAN OCEAN,Volume 24: Ocean Science (OS),"([],)",,Oceanography
"Two blooms of Trichodesmium erythraeum were observed during April 2001, in the open waters of Bay of Bengal and this is the first report from this region. The locations of the bloom were off Karaikkal (10°58'N, 81°50'E) and off south of Calcutta (19° 44'N, 89° 04'), both along east coast of India. Nutrients (nitrate, phosphate, silicate) concentration in the upper 30 m of the water column showed very low values. High-integrated primary production (Bloom 1- 2160 mgC m -2 d -1 , Bloom 2-1740 mgC m -2 d -1 ) was obtained in these regions, which indicated the enhancement of primary production in the earlier stages of the bloom. Very low NO3-N concentrations, brownish yellow bloom colour, undisturbed patches and high primary production strongly suggested that the blooms were in the growth phase. Low mesozooplankton biomass was found in both locations and was dominated by copepods followed by chaetognaths. Collapse","[' P.Vennugopal', ' K.K.C. Nair', ' P.C. Haridas', ' Nuncio Murukesh', ' N.V. Madhu', 'R. Jyothibabu']",,http://nopr.niscair.res.in/handle/123456789/4262,6,2003,Intense blooms of Trichodesmium erythraeum (Cyanophyta) in the open waters along east coast of India,Indian Journal of Marine Sciences,,Biology,Oceanography
,"['V.V.S.S. Sarma', 'H.B. Dalabehara']",10.1016/j.dsr2.2020.104906,https://doi.org/10.1016/j.dsr2.2020.104906,0,0,Physical forcing controls spatial variability in primary production in the Indian Ocean,Deep Sea Research Part II: Topical Studies in Oceanography,"(['Oceanography'],)",,Oceanography
,"['Michael W. Lomas', 'Benjamin S. Twining', 'Adam C. Martiny', 'Nathan S. Garcia', 'Catherine A. Garcia', 'Sara Rauschenberg', 'Steven E. Baer']",10.1016/j.dsr2.2018.11.008,https://doi.org/10.1016/j.dsr2.2018.11.008,0,0,Carbon and nitrogen productivity during spring in the oligotrophic Indian Ocean along the GO-SHIP IO9N transect,Deep Sea Research Part II: Topical Studies in Oceanography,"(['Oceanography'],)",,Oceanography
,"['K. Yadav', 'H. B. Dalabehera', 'G. R. Rajula', 'D. N. Rao', 'V. V. S. S. Sarma']",10.1029/2019GL082262,https://doi.org/10.1029/2019GL082262,0,0,Organic Nutrients Support High Primary Production in the Bay of Bengal,Geophysical Research Letters,"(['General Earth and Planetary Sciences', 'Geophysics'],)",,Oceanography
,"['V.D. Rao', 'D.S.R. Lakshmi', 'G.R. Rajula', 'M.M.R. Priya', 'D.N. Rao', 'M. Chopra', 'V.V.S.S. Sarma']",10.1016/j.csr.2020.104186,https://doi.org/10.1016/j.csr.2020.104186,0,0,Role of eddies on controlling total and size-fractionated primary production in the Bay of Bengal,Continental Shelf Research,"(['Geology', 'Aquatic Science', 'Oceanography'],)",,Oceanography
,"['Linda Gilpin', 'Graham Savidge']",10.1016/S0967-0645(98)00124-6,https://doi.org/10.1016/S0967-0645(98)00124-6,0,0,Seasonal influences on size-fractionated chlorophyll a concentrations and primary production in the north-west Indian Ocean,Deep Sea Research Part II: Topical Studies in Oceanography,"(['Oceanography'],)",,Oceanography
,"['N. Ramaiah', 'K. K. C. Nair', 'S. Raghukumar', 'M. Dileep Kumar', 'P. M. A. Bhattathiri', 'S. Prasanna Kumar', 'M. Madhupratap']",10.1038/384549a0,https://doi.org/10.1038/384549a0,0,0,Mechanism of the biological response to winter cooling in the northeastern Arabian Sea,Nature,"(['Multidisciplinary'],)",,Oceanography
,"['Edward J. Carpenter', 'Ronald L. Siefert', 'Anne M. Johansen', 'Christoph Humborg', 'Maren Voss', 'Joseph P. Montoya', 'Ajit Subramaniam', 'Douglas G. Capone']",10.7916/D8416X1H,https://doi.org/10.7916/D8416X1H,0,0,An extensive bloom of the N₂-fixing cyanobacterium Trichodesmium erythraeum in the central Arabian Sea,,,,Oceanography
,"['Sharon L Smith', 'Ralf Goericke', 'Mikel Latasa', 'Zackary Johnson', 'David Halpern', 'Louis A Codispoti', 'Robert C Bidigare', 'John Marra', 'Richard T Barber']",10.1016/S0967-0645(00)00134-X,https://doi.org/10.1016/S0967-0645(00)00134-X,0,0,Primary productivity and its regulation in the Arabian Sea during 1995,Deep Sea Research Part II: Topical Studies in Oceanography,"(['Oceanography'],)",,Oceanography
,"['Chittur T. Achuthankutty', 'Kadeparambil A. Jayaraj', 'Padinjaratte A. Maheswaran', 'Retnamma Jyothibabu', 'Nikathithara V. Madhu']",10.1080/17451000.2011.605143,https://doi.org/10.1080/17451000.2011.605143,0,0,Enhanced chlorophyllaand primary production in the northern Arabian Sea during the spring intermonsoon due to greenNoctilucascintillansbloom,Marine Biology Research,"(['Aquatic Science', 'Ecology, Evolution, Behavior and Systematics', 'Oceanography'],)",,Oceanography
"We report the first direct estimates of N 2 fixation rates measured during the spring, 2009 using the 15N 2 gas tracer technique in the eastern Arabian Sea, which is well known for significant loss of nitrogen due to intense denitrification. Carbon uptake rates are also concurrently estimated using the 13C tracer technique. The N 2 fixation rates vary from 0.1 to 34 mmol N m -2d -1 after correcting for the isotopic under-equilibrium with dissolved air in the samples. These higher N 2 fixation rates are consistent with higher chlorophyll a and low I´ 15N of natural particulate organic nitrogen. Our estimates of N 2 fixation is a useful step toward reducing the uncertainty in the nitrogen budget.","['Suhas Shetye', 'M. S. Sheshshayee', 'Mini Raman', 'R. Ramesh', 'S. Prakash', 'Arvind Singh', 'Naveen Gandhi']",10.1029/2010GB003970,https://doi.org/10.1029/2010GB003970,0,0,First direct measurements of N2fixation during aTrichodesmiumbloom in the eastern Arabian Sea: N2FIXATION IN THE ARABIAN SEA,Global Biogeochemical Cycles,,"['Biology', 'Geology']",Oceanography
"Diazotrophy in the Indian Ocean is poorly understood compared to that in the Atlantic and Pacific Oceans. We first examined the basin-scale community structure of diazotrophs and their nitrogen fixation activity within the euphotic zone during the northeast monsoon period along about 69°E from 17°N to 20°S in the oligotrophic Indian Ocean, where a shallow nitracline (49–59 m) prevailed widely and the sea surface temperature (SST) was above 25°C. Phosphate was detectable at the surface throughout the study area. The dissolved iron concentration and the ratio of iron to nitrate + nitrite at the surface were significantly higher in the Arabian Sea than in the equatorial and southern Indian Ocean. Nitrogen fixation in the Arabian Sea (24.6–47.1 μmolN m−2 d−1) was also significantly greater than that in the equatorial and southern Indian Ocean (6.27–16.6 μmolN m−2 d−1), indicating that iron could control diazotrophy in the Indian Ocean. Phylogenetic analysis of nifH showed that most diazotrophs belonged to the Proteobacteria and that cyanobacterial diazotrophs were absent in the study area except in the Arabian Sea. Furthermore, nitrogen fixation was not associated with light intensity throughout the study area. These results are consistent with nitrogen fixation in the Indian Ocean, being largely performed by heterotrophic bacteria and not by cyanobacteria. The low cyanobacterial diazotrophy was attributed to the shallow nitracline, which is rarely observed in the Pacific and Atlantic oligotrophic oceans. Because the shallower nitracline favored enhanced upward nitrate flux, the competitive advantage of cyanobacterial diazotrophs over nondiazotrophic phytoplankton was not as significant as it is in other oligotrophic oceans.","['Ken Furuya', 'Shigenobu Takeda', 'Taketoshi Kodama', 'Minoru Ijichi', 'Takuhei Shiozaki']",10.1002/2014GB004886,https://doi.org/10.1002/2014GB004886,0,0,Heterotrophic bacteria as major nitrogen fixers in the euphotic zone of the Indian Ocean: NITROGEN FIXATION IN THE INDIAN OCEAN,Global Biogeochemical Cycles,,"['Biology', 'Geology']",Oceanography
,"['H.B. Dalabehera', 'V.V.S.S. Sarma']",10.1016/j.marchem.2019.103687,https://doi.org/10.1016/j.marchem.2019.103687,0,0,New and primary production in the western Indian Ocean during fall monsoon,Marine Chemistry,"(['Water Science and Technology', 'Environmental Chemistry', 'General Chemistry', 'Oceanography'],)",,Oceanography
,"['C.A. Llewellyn', 'R.J.M. Howland', 'J. Aiken', 'I.E. Bellan', 'E.M.S. Woodward', 'R.F.C. Mantoura', 'P.H. Burkill', 'N.J.P. Owens']",10.1016/0967-0645(93)90053-P,https://doi.org/10.1016/0967-0645(93)90053-P,0,0,Size-fractionated primary production and nitrogen assimilation in the northwestern Indian Ocean,Deep Sea Research Part II: Topical Studies in Oceanography,"(['Oceanography'],)",,Oceanography
,"['N.J.P. Owens', 'L.J. Watts']",10.1016/S0967-0645(98)00125-8,https://doi.org/10.1016/S0967-0645(98)00125-8,0,0,Nitrogen assimilation and the f-ratio in the northwestern Indian Ocean during an intermonsoon period,Deep Sea Research Part II: Topical Studies in Oceanography,"(['Oceanography'],)",,Oceanography
,"['John L. Nevins', 'Chris Garside', 'James J. McCarthy']",10.1016/S0967-0645(99)00038-7,https://doi.org/10.1016/S0967-0645(99)00038-7,0,0,Nitrogen dynamics during the Arabian Sea Northeast Monsoon,Deep Sea Research Part II: Topical Studies in Oceanography,"(['Oceanography'],)",,Oceanography
,Raymond N Sambrotto,10.1016/S0967-0645(00)00135-1,https://doi.org/10.1016/S0967-0645(00)00135-1,0,0,Nitrogen production in the northern Arabian Sea during the Spring Intermonsoon and Southwest Monsoon seasons,Deep Sea Research Part II: Topical Studies in Oceanography,"(['Oceanography'],)",,Oceanography
,Sanjeev Kumar,10.1029/2004GL021005,https://doi.org/10.1029/2004GL021005,0,0,High new production in the Bay of Bengal: Possible causes and implications,Geophysical Research Letters,"(['General Earth and Planetary Sciences', 'Geophysics'],)",,Oceanography
